# Spectral Indices Definitions
# 
#ID  name        units       centr_b   centr_r     pcont_bb  pcont_br    pcont_rb  pcont_rr     latex_name       latex_units  ref.                                                    
035  Ca4455      A           4452.125  4474.625    4445.875  4454.625    4477.125  4492.125     Ca4455           \AA          1    
036  Fe4531      A           4514.250  4559.250    4504.250  4514.250    4560.500  4579.250     Fe4531           \AA          1    
037  C2_4668     A           4634.000  4720.250    4611.500  4630.250    4742.750  4756.500     C_{2}4668        \AA          1    
038  Hbeta       A           4847.875  4876.625    4827.875  4847.875    4876.625  4891.625     H_\beta          \AA          1    
039  Fe5015      A           4977.750  5054.000    4946.500  4977.750    5054.000  5065.250     Fe5015           \AA          1    
040  Mg1         mag         5069.125  5134.125    4895.125  4957.625    5301.125  5366.125     Mg_1             mag          1    
041  Mg2         mag         5154.125  5196.625    4895.125  4957.625    5301.125  5366.125     Mg_2             mag          1    
042  Mgb         A           5160.125  5192.625    5142.625  5161.375    5191.375  5206.375     Mg_b             \AA          1    
043  Fe5270      A           5245.650  5285.650    5233.150  5248.150    5285.650  5318.150     Fe5270           \AA          1    
044  Fe5335      A           5312.125  5352.125    5304.625  5315.875    5353.375  5363.375     Fe5335           \AA          1    
045  Fe5406      A           5387.500  5415.000    5376.250  5387.500    5415.000  5425.000     Fe5406           \AA          1    
046  Fe5709      A           5696.625  5720.375    5672.875  5696.625    5722.875  5736.625     Fe5709           \AA          1    
047  Fe5782      A           5776.625  5796.625    5765.375  5775.375    5797.875  5811.625     Fe5782           \AA          1    
048  NaD         A           5876.875  5909.375    5860.625  5875.625    5922.125  5948.125     NaD              \AA          1    
049  TiO1        mag         5936.625  5994.125    5816.625  5849.125    6038.625  6103.625     TiO_1            mag          1    
050  TiO2        mag         6189.625  6272.125    6066.625  6141.625    6372.625  6415.125     TiO_2            mag          1    
051  CaT_ast     general        0.000     0.000       0.000     0.000       0.000     0.000     CaT^{\ast}       \AA          8    
052  CN0.93      A           9138.000  9465.000    9040.000  9070.000    9500.000  9530.000     CN0.93           \AA          10   
053  FeH0.99     A           9880.000  9935.000    9830.000  9860.000    9955.000  9980.000     FeH0.99          \AA          10   
054  CN1.10      A           10920.000 11012.000   10845.000 10860.000   11124.000 11170.000    CN1.10           \AA          10   
055  NaI1.14     A           11362.000 11420.000   11305.000 11325.000   11453.000 11480.000    NaI1.14          \AA          10   
056  FeI1.16     A           11593.000 11640.000   11540.000 11570.000   11705.000 11740.000    FeI1.16          \AA          10   
057  MgI1.18     A           11810.000 11850.000   11705.000 11740.000   11905.000 11935.000    MgI1.18          \AA          10   
058  Pab1.28     A           12790.000 12845.000   12760.000 12780.000   12855.000 12875.000    Pa$\beta$1.28    \AA          10   
059  AlI1.31     A           13105.000 13160.000   13045.000 13075.000   13170.000 13195.000    AlI1.31          \AA          10   
060  CN1.42      A           14070.000 14250.000   14015.000 14050.000   14315.000 14350.000    CN1.42           \AA          10   
061  CN1.46      A           14500.000 14750.000   14460.000 14485.000   14800.000 14840.000    CN1.46           \AA          10   
062  MgI1.50     A           15005.000 15044.000   14935.000 14985.000   15097.000 15120.000    MgI1.50          \AA          10   
063  CO1.56      A           15545.000 15620.000   15445.000 15485.000   15640.000 15670.000    CO1.56           \AA          10   
064  CO1.58      A           15750.000 15810.000   15705.000 15735.000   15835.000 15860.000    CO1.58           \AA          10   
065  CO1.60      A           15970.000 16020.000   15920.000 15950.000   16045.000 16120.000    CO1.60           \AA          10   
066  CO1.64      A           16370.000 16434.000   16330.000 16355.000   16480.000 16505.000    CO1.64           \AA          10   
067  CO1.66      A           16600.000 16680.000   16565.000 16585.000   16780.000 16800.000    CO1.66           \AA          10   
068  AlI1.67     A           16710.000 16770.000   16565.000 16585.000   16780.000 16800.000    AlI1.67          \AA          10   
069  CO1.68      A           16815.000 16890.000   16780.000 16800.000   16905.000 16945.000    CO1.68           \AA          10   
070  CaI1.95     A           19405.000 19530.000   19350.000 19385.000   19545.000 19580.000    CaI1.95          \AA          10   
071  CaI1.99a    A           19730.000 19800.000   19660.000 19695.000   20005.000 20090.000    CaI1.99a         \AA          10   
072  CaI1.99b    A           19830.000 19885.000   19660.000 19695.000   20005.000 20090.000    CaI1.99b         \AA          10   
073  CaI1.99c    A           19905.000 19980.000   19660.000 19695.000   20005.000 20090.000    CaI1.99c         \AA          10   
074  NaI2.21     A           22025.000 22114.000   21930.000 21975.000   22130.000 22185.000    NaI2.21          \AA          10   
075  FeI2.24     A           22360.000 22480.000   22315.000 22350.000   22500.000 22545.000    FeI2.24          \AA          10   
076  CaI2.26     A           22590.000 22680.000   22500.000 22545.000   22715.000 22765.000    CaI2.26          \AA          10   
077  CO2.30      A           22915.000 23015.000   22850.000 22895.000   23090.000 23170.000    CO2.30           \AA          10   
078  CO2.32      A           23190.000 23300.000   23090.000 23170.000   23340.000 23425.000    CO2.32           \AA          10   
079  CO2.35      A           23440.000 23630.000   23340.000 23425.000   23660.000 23710.000    CO2.35           \AA          10   
#
#
# .. references::
#    1   Trager et al. 1998 ApJS 116 1
#    2   Worthey & Ottaviani 1997 ApJS 111 377
#    3   Maraston et al. 2009, MNRAS 394 107
#    4   Daddi et al. 2005 ApJ 626 680
#    5   Bruzual et al. 1983 ApJ 273 105
#    6   Balogh et al. 1999 ApJ 527 54
#    7   Spinrad et al. 1997 ApJ 484 581
#    8   Cenarro et al. 2001 MNRAS 326 959
#    9   Fanfani 2019 master thesis, amslaurea.unibo.it/17900/
#    10  Eftekhari et al. 2022 MNRAS 504 2190
